,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,date,hour,year,month,day
0,1,0,0,1,9.84,14.395,81,0.0,3,13,2011-01-01,0,2011.0,1.0,1.0
1,1,0,0,1,9.02,13.635,80,0.0,8,32,2011-01-01,1,2011.0,1.0,1.0
2,1,0,0,1,9.02,13.635,80,0.0,5,27,2011-01-01,2,2011.0,1.0,1.0
3,1,0,0,1,9.84,14.395,75,0.0,3,10,2011-01-01,3,2011.0,1.0,1.0
4,1,0,0,1,9.84,14.395,75,0.0,0,1,2011-01-01,4,2011.0,1.0,1.0
5,1,0,0,2,9.84,12.88,75,6.0032,0,1,2011-01-01,5,2011.0,1.0,1.0
6,1,0,0,1,9.02,13.635,80,0.0,2,0,2011-01-01,6,2011.0,1.0,1.0
7,1,0,0,1,8.2,12.88,86,0.0,1,2,2011-01-01,7,2011.0,1.0,1.0
8,1,0,0,1,9.84,14.395,75,0.0,1,7,2011-01-01,8,2011.0,1.0,1.0
9,1,0,0,1,13.12,17.425,76,0.0,8,6,2011-01-01,9,2011.0,1.0,1.0
10,1,0,0,1,15.58,19.695,76,16.9979,12,24,2011-01-01,10,2011.0,1.0,1.0
11,1,0,0,1,14.76,16.665,81,19.0012,26,30,2011-01-01,11,2011.0,1.0,1.0
12,1,0,0,1,17.22,21.21,77,19.0012,29,55,2011-01-01,12,2011.0,1.0,1.0
13,1,0,0,2,18.86,22.725,72,19.9995,47,47,2011-01-01,13,2011.0,1.0,1.0
14,1,0,0,2,18.86,22.725,72,19.0012,35,71,2011-01-01,14,2011.0,1.0,1.0
15,1,0,0,2,18.04,21.97,77,19.9995,40,70,2011-01-01,15,2011.0,1.0,1.0
16,1,0,0,2,17.22,21.21,82,19.9995,41,52,2011-01-01,16,2011.0,1.0,1.0
17,1,0,0,2,18.04,21.97,82,19.0012,15,52,2011-01-01,17,2011.0,1.0,1.0
18,1,0,0,3,17.22,21.21,88,16.9979,9,26,2011-01-01,18,2011.0,1.0,1.0
19,1,0,0,3,17.22,21.21,88,16.9979,6,31,2011-01-01,19,2011.0,1.0,1.0
20,1,0,0,2,16.4,20.455,87,16.9979,11,25,2011-01-01,20,2011.0,1.0,1.0
21,1,0,0,2,16.4,20.455,87,12.998,3,31,2011-01-01,21,2011.0,1.0,1.0
22,1,0,0,2,16.4,20.455,94,15.0013,11,17,2011-01-01,22,2011.0,1.0,1.0
23,1,0,0,2,18.86,22.725,88,19.9995,15,24,2011-01-01,23,2011.0,1.0,1.0
24,1,0,0,2,18.86,22.725,88,19.9995,4,13,2011-01-02,0,2011.0,1.0,2.0
25,1,0,0,2,18.04,21.97,94,16.9979,1,16,2011-01-02,1,2011.0,1.0,2.0
26,1,0,0,2,17.22,21.21,100,19.0012,1,8,2011-01-02,2,2011.0,1.0,2.0
27,1,0,0,2,18.86,22.725,94,12.998,2,4,2011-01-02,3,2011.0,1.0,2.0
28,1,0,0,2,18.86,22.725,94,12.998,2,1,2011-01-02,4,2011.0,1.0,2.0
29,1,0,0,3,17.22,21.21,77,19.9995,0,2,2011-01-02,6,2011.0,1.0,2.0
30,1,0,0,2,16.4,20.455,76,12.998,0,1,2011-01-02,7,2011.0,1.0,2.0
31,1,0,0,3,16.4,20.455,71,15.0013,0,8,2011-01-02,8,2011.0,1.0,2.0
32,1,0,0,2,15.58,19.695,76,15.0013,1,19,2011-01-02,9,2011.0,1.0,2.0
33,1,0,0,2,14.76,17.425,81,15.0013,7,46,2011-01-02,10,2011.0,1.0,2.0
34,1,0,0,2,14.76,16.665,71,16.9979,16,54,2011-01-02,11,2011.0,1.0,2.0
35,1,0,0,2,14.76,16.665,66,19.9995,20,73,2011-01-02,12,2011.0,1.0,2.0
36,1,0,0,2,14.76,17.425,66,8.9981,11,64,2011-01-02,13,2011.0,1.0,2.0
37,1,0,0,3,14.76,17.425,76,12.998,4,55,2011-01-02,14,2011.0,1.0,2.0
38,1,0,0,3,13.94,16.665,81,11.0014,19,55,2011-01-02,15,2011.0,1.0,2.0
39,1,0,0,3,13.94,16.665,71,11.0014,9,67,2011-01-02,16,2011.0,1.0,2.0
40,1,0,0,1,13.94,16.665,57,12.998,7,58,2011-01-02,17,2011.0,1.0,2.0
41,1,0,0,2,14.76,16.665,46,22.0028,10,43,2011-01-02,18,2011.0,1.0,2.0
42,1,0,0,1,13.12,14.395,42,30.0026,1,29,2011-01-02,19,2011.0,1.0,2.0
43,1,0,0,1,12.3,13.635,39,23.9994,5,17,2011-01-02,20,2011.0,1.0,2.0
